CardsDonated,ClanJoined,Cohort,Country,DaysToReachTheater2,DaysToReachTheater3,DaysToReachTheater4,DaysToReachTheater5,FirstPurchaseTheater,Number of Records,PayingUsers,PlayTimeToReachTheater2,PlayTimeToReachTheater3,PlayTimeToReachTheater4,PlayTimeToReachTheater5,StartingGoldHurryCrate,StartingGoldPurchaseCrate,StartingGoldPurchaseSupply,T2Draw,T2Losses,T2Wins,T3Draw,T3Losses,T3Wins,T4Draw,T4Losses,T4Wins,Platform,userID
0,1,14/04/2017,-1,1,1,3,12,,1,0,16,129,230,586,442,,,1,18,14,2,7,18,11,32,37,PS4,9ayT1EdzOUukSVW5_En5cg
0,1,14/04/2017,-1,1,1,3,22,,1,0,10,151,295,891,95,220,17,3,3,11,1,4,17,3,27,28,PS4,h1HD7l1yPEqvTRc1IpyhUg
2,1,14/04/2017,-1,1,2,4,15,,1,0,16,177,536,1837,177,170,171,4,17,14,12,70,59,38,191,141,PS4,R_e6AZj3sE24y_dT8mhTPQ
827,1,14/04/2017,-1,1,1,2,7,,1,0,26,162,287,598,346,110,192,1,10,15,2,10,17,7,39,41,PS4,Sa6vX4ftRk68wdxCaJijZw
0,0,14/04/2017,-1,2,2,3,5,4,1,1,21,123,245,982,121,,135,,10,9,2,14,22,4,20,17,PS4,TGKd6aRu3U-dz6Oeh9GyQg
0,0,14/04/2017,AU,1,3,14,35,,1,0,15,219,414,1012,121,110,,2,11,15,2,23,22,1,65,43,PS4,3zWZsi2DikqKD-BWViuFfA
0,0,14/04/2017,AU,1,4,6,14,4,1,1,12,122,228,611,93,110,42,2,8,12,2,4,18,,4,8,PS4,m3vYsu-O70GSAJnkDOVCbg
0,0,14/04/2017,BE,1,1,3,7,3,1,1,20,87,322,572,128,,122,,2,14,,3,2,,,,PS4,B2jAAyZAOUmWVAy6L0t-iA
34,1,14/04/2017,BE,1,2,4,9,,1,0,12,61,152,271,58,220,6,,,13,3,3,15,1,4,13,PS4,UazD0_MwBEqPm0zH8QGQQw
0,1,14/04/2017,BR,1,4,13,23,,1,0,25,502,1701,3803,232,220,,4,122,14,23,431,136,14,266,163,PS4,1ANu3rxWCkSwNaDVuBAUNQ
0,1,14/04/2017,BR,1,3,7,20,4,1,1,20,236,412,814,18,110,126,4,12,14,1,9,17,2,13,18,PS4,pceVfgVLtEm4YL8paEZRXA
0,0,14/04/2017,CA,2,7,13,21,3,1,1,38,257,572,944,191,,,1,31,12,,6,5,,,,PS4,bsKSY4_TOkiLu4o9p562yw
0,0,14/04/2017,CA,1,3,4,21,2,1,1,18,226,414,922,3,220,27,1,12,4,,,,,,,PS4,DrEj94EU1EyXNrNowEPHOQ
331,1,14/04/2017,CA,3,5,9,15,,1,0,8,85,261,624,142,,315,,5,13,,5,16,,4,21,PS4,O_9Tbl-Ee0Wr0PhizZMFQg
39,1,14/04/2017,CA,1,3,4,17,,1,0,7,51,158,361,94,,205,,3,11,,7,15,3,8,24,PS4,QI5mez_LOU2EjTX2LXalCQ
11,1,14/04/2017,CA,1,1,4,7,,1,0,15,164,511,710,254,,,1,20,15,5,28,18,,10,19,PS4,XEGOJnXxeEq6EamKgKi43A
461,1,14/04/2017,CH,1,2,2,4,,1,0,12,87,205,523,159,,593,1,3,13,1,5,21,8,21,30,PS4,LSSoTZhRpE-8ME3fJXYLLQ
